athlete_id,athlete_name,sex,age,height_cm,weight_kg,team,noc,year,city,sport,event,medal
47,Ivan Brown,M,27,159,84,Soviet Union,USSR,1896,Athens,Swimming,100m Freestyle Men,Silver
48,Hans Biles,M,23,169,77,Belgium,BEL,1896,Athens,Swimming,100m Freestyle Men,Bronze
49,Usain Fischer,M,26,178,85,United States,USA,1896,Athens,Swimming,200m Freestyle Men,Gold
50,Li Osei,M,23,168,91,Australia,AUS,1896,Athens,Swimming,200m Freestyle Men,Silver
51,Michael Volkov,M,27,162,84,Norway,NOR,1896,Athens,Swimming,200m Freestyle Men,Bronze
52,James Wang,M,31,165,77,Germany,GER,1896,Athens,Swimming,400m Freestyle Men,Gold
53,Sergei Kipchoge,M,23,172,72,Czech Republic,CZE,1896,Athens,Swimming,400m Freestyle Men,Silver
54,Usain Williams,M,23,167,74,Netherlands,NED,1896,Athens,Swimming,400m Freestyle Men,Bronze
55,Boris Osei,M,32,185,73,Italy,ITA,1896,Athens,Swimming,100m Backstroke Men,Gold
56,Li Osei,M,24,200,75,Soviet Union,USSR,1896,Athens,Swimming,100m Backstroke Men,Silver
57,Pierre Thompson,M,28,176,86,Australia,AUS,1896,Athens,Swimming,100m Backstroke Men,Bronze
58,Li Phelps,M,28,173,80,Finland,FIN,1896,Athens,Swimming,100m Breaststroke Men,Gold
59,Michael Park,M,24,176,83,Hungary,HUN,1896,Athens,Swimming,100m Breaststroke Men,Silver
60,Carl Martin,M,24,170,71,United States,USA,1896,Athens,Swimming,100m Breaststroke Men,Bronze
61,David Kipchoge,M,23,182,80,Sweden,SWE,1896,Athens,Swimming,100m Butterfly Men,Gold
62,Mark Müller,M,23,170,78,Japan,JPN,1896,Athens,Swimming,100m Butterfly Men,Silver
63,Wei Liu,M,30,176,59,Canada,CAN,1896,Athens,Swimming,100m Butterfly Men,Bronze
64,Wei Müller,M,27,185,75,Finland,FIN,1896,Athens,Swimming,200m Individual Medley Men,Gold
65,Sergei Felix,M,25,181,72,Netherlands,NED,1896,Athens,Swimming,200m Individual Medley Men,Silver
66,Jean Tanaka,M,23,190,85,Soviet Union,USSR,1896,Athens,Swimming,200m Individual Medley Men,Bronze
67,David Yamamoto,M,28,180,74,France,FRA,1896,Athens,Swimming,4x100m Relay Men,Gold
68,Adam Popov,M,22,158,92,Germany,GER,1896,Athens,Swimming,4x100m Relay Men,Silver
69,Boris Phelps,M,29,178,75,Norway,NOR,1896,Athens,Swimming,4x100m Relay Men,Bronze
70,Sarah Williams,F,26,152,60,France,FRA,1896,Athens,Swimming,100m Freestyle Women,Gold
71,Nadia Fischer,F,27,163,42,Soviet Union,USSR,1896,Athens,Swimming,100m Freestyle Women,Silver
72,Heike Biles,F,30,148,75,Great Britain,GBR,1896,Athens,Swimming,100m Freestyle Women,Bronze
73,Kim Dubois,F,23,164,72,Brazil,BRA,1896,Athens,Swimming,200m Freestyle Women,Gold
74,Kim Kipchoge,F,29,153,51,United States,USA,1896,Athens,Swimming,200m Freestyle Women,Silver
75,Mary Brown,F,31,162,60,Italy,ITA,1896,Athens,Swimming,200m Freestyle Women,Bronze
76,Anna Thompson,F,27,168,60,Germany,GER,1896,Athens,Swimming,400m Freestyle Women,Gold
77,Birgit Volkov,F,31,172,81,United States,USA,1896,Athens,Swimming,400m Freestyle Women,Silver
78,Jessica Fischer,F,22,167,62,Denmark,DEN,1896,Athens,Swimming,400m Freestyle Women,Bronze
79,Nadia Osei,F,25,154,70,Czech Republic,CZE,1896,Athens,Swimming,100m Backstroke Women,Gold
80,Anna Kim,F,18,162,43,United States,USA,1896,Athens,Swimming,100m Backstroke Women,Silver
81,Larisa Kim,F,29,160,51,Great Britain,GBR,1896,Athens,Swimming,100m Backstroke Women,Bronze
82,Anna Volkov,F,27,166,70,India,IND,1896,Athens,Swimming,100m Breaststroke Women,Gold
83,Anna Chen,F,31,161,63,Bulgaria,BUL,1896,Athens,Swimming,100m Breaststroke Women,Silver
84,Dafne Yamamoto,F,25,160,74,Czech Republic,CZE,1896,Athens,Swimming,100m Breaststroke Women,Bronze
85,Simone Lewis,F,26,161,76,Poland,POL,1896,Athens,Swimming,4x100m Relay Women,Gold
86,Jessica Yamamoto,F,26,177,66,Hungary,HUN,1896,Athens,Swimming,4x100m Relay Women,Silver
87,Allyson Bolt,F,20,159,53,United States,USA,1896,Athens,Swimming,4x100m Relay Women,Bronze
88,Ryan Smith,M,22,168,71,Germany,GER,1896,Athens,Gymnastics,All-Around Men,Gold
89,Carl Wang,M,26,187,76,Soviet Union,USSR,1896,Athens,Gymnastics,All-Around Men,Silver
90,James Kipchoge,M,30,170,100,Canada,CAN,1896,Athens,Gymnastics,All-Around Men,Bronze
91,Klaus Martin,M,26,181,75,France,FRA,1896,Athens,Gymnastics,Floor Exercise Men,Gold
92,Zhang Volkov,M,26,182,73,Romania,ROU,1896,Athens,Gymnastics,Floor Exercise Men,Silver
93,Usain Kipchoge,M,32,175,91,Japan,JPN,1896,Athens,Gymnastics,Floor Exercise Men,Bronze
94,Wei Bolt,M,20,176,70,Canada,CAN,1896,Athens,Gymnastics,Pommel Horse Men,Gold
95,Carl Felix,M,27,164,79,Czech Republic,CZE,1896,Athens,Gymnastics,Pommel Horse Men,Silver
96,Boris Chen,M,17,160,89,United States,USA,1896,Athens,Gymnastics,Pommel Horse Men,Bronze
97,Mark Dubois,M,20,179,69,Sweden,SWE,1896,Athens,Gymnastics,Rings Men,Gold
98,Ivan Wang,M,30,163,73,Soviet Union,USSR,1896,Athens,Gymnastics,Rings Men,Silver
99,Carl Müller,M,33,175,68,Italy,ITA,1896,Athens,Gymnastics,Rings Men,Bronze
100,David Johnson,M,26,176,67,Canada,CAN,1896,Athens,Gymnastics,Vault Men,Gold
101,Usain Volkov,M,29,175,82,Denmark,DEN,1896,Athens,Gymnastics,Vault Men,Silver
102,Jean Zhang,M,22,172,76,United States,USA,1896,Athens,Gymnastics,Vault Men,Bronze
103,Klaus Volkov,M,21,161,77,United States,USA,1896,Athens,Gymnastics,Parallel Bars Men,Gold
104,Ivan Liu,M,24,166,68,Sweden,SWE,1896,Athens,Gymnastics,Parallel Bars Men,Silver
105,Hans Kipchoge,M,26,182,85,Canada,CAN,1896,Athens,Gymnastics,Parallel Bars Men,Bronze
106,Carl Volkov,M,28,171,90,Italy,ITA,1896,Athens,Gymnastics,Horizontal Bar Men,Gold
107,Li Bolt,M,22,163,84,United States,USA,1896,Athens,Gymnastics,Horizontal Bar Men,Silver
108,Pierre Brown,M,33,163,80,Australia,AUS,1896,Athens,Gymnastics,Horizontal Bar Men,Bronze
109,Dafne Zhang,F,16,170,63,United States,USA,1896,Athens,Gymnastics,All-Around Women,Gold
110,Emily Volkov,F,25,160,67,Soviet Union,USSR,1896,Athens,Gymnastics,All-Around Women,Silver
111,Elena Martin,F,28,171,42,Great Britain,GBR,1896,Athens,Gymnastics,All-Around Women,Bronze
112,Emily Martin,F,36,170,51,Poland,POL,1896,Athens,Gymnastics,Floor Exercise Women,Gold
113,Liu Volkov,F,29,171,60,Soviet Union,USSR,1896,Athens,Gymnastics,Floor Exercise Women,Silver
114,Emily Felix,F,22,159,60,New Zealand,NZL,1896,Athens,Gymnastics,Floor Exercise Women,Bronze
115,Kim Park,F,23,171,71,Germany,GER,1896,Athens,Gymnastics,Beam Women,Gold
116,Dafne Volkov,F,29,145,52,United States,USA,1896,Athens,Gymnastics,Beam Women,Silver
117,Larisa Williams,F,27,160,60,Belgium,BEL,1896,Athens,Gymnastics,Beam Women,Bronze
118,Simone Williams,F,25,161,55,Hungary,HUN,1896,Athens,Gymnastics,Vault Women,Gold
119,Anna Williams,F,28,154,57,Poland,POL,1896,Athens,Gymnastics,Vault Women,Silver
120,Allyson Kipchoge,F,28,160,79,United States,USA,1896,Athens,Gymnastics,Vault Women,Bronze
121,Michael Chen,M,33,162,62,Norway,NOR,1896,Athens,Cycling,Road Race Men,Gold
122,Carl Popov,M,19,156,89,Brazil,BRA,1896,Athens,Cycling,Road Race Men,Silver
123,Mark Liu,M,29,183,92,Japan,JPN,1896,Athens,Cycling,Road Race Men,Bronze
124,James Chen,M,25,172,70,Hungary,HUN,1896,Athens,Cycling,Time Trial Men,Gold
125,Carl Bolt,M,32,174,75,Belgium,BEL,1896,Athens,Cycling,Time Trial Men,Silver
126,Yuki Thompson,M,22,193,65,Netherlands,NED,1896,Athens,Cycling,Time Trial Men,Bronze
127,Pierre Smith,M,26,173,92,Italy,ITA,1896,Athens,Cycling,Track Sprint Men,Gold
128,James Tanaka,M,28,160,89,Australia,AUS,1896,Athens,Cycling,Track Sprint Men,Silver
129,Yuki Osei,M,26,196,72,Great Britain,GBR,1896,Athens,Cycling,Track Sprint Men,Bronze
130,Emily Williams,F,26,166,64,Canada,CAN,1896,Athens,Cycling,Road Race Women,Gold
131,Allyson Müller,F,33,175,75,Denmark,DEN,1896,Athens,Cycling,Road Race Women,Silver
132,Nadia Kim,F,23,164,67,Hungary,HUN,1896,Athens,Cycling,Road Race Women,Bronze
133,Mary Wang,F,36,169,54,United States,USA,1896,Athens,Cycling,Time Trial Women,Gold
134,Simone Bolt,F,25,156,43,Belgium,BEL,1896,Athens,Cycling,Time Trial Women,Silver
135,Dafne Brown,F,20,154,56,Poland,POL,1896,Athens,Cycling,Time Trial Women,Bronze
136,Adam Tanaka,M,32,181,73,Soviet Union,USSR,1896,Athens,Cycling,Mountain Bike Men,Gold
137,Wei Phelps,M,21,179,67,France,FRA,1896,Athens,Cycling,Mountain Bike Men,Silver
138,Ryan Müller,M,25,166,63,United States,USA,1896,Athens,Cycling,Mountain Bike Men,Bronze
139,Wei Felix,M,30,171,58,Great Britain,GBR,1896,Athens,Wrestling,Freestyle 65kg Men,Gold
140,Li Volkov,M,28,194,94,France,FRA,1896,Athens,Wrestling,Freestyle 65kg Men,Silver
141,Wei Dubois,M,32,174,72,Romania,ROU,1896,Athens,Wrestling,Freestyle 65kg Men,Bronze
142,Li Popov,M,23,186,76,United States,USA,1896,Athens,Wrestling,Freestyle 74kg Men,Gold
143,Boris Dubois,M,24,183,58,Netherlands,NED,1896,Athens,Wrestling,Freestyle 74kg Men,Silver
144,Boris Park,M,27,175,73,Germany,GER,1896,Athens,Wrestling,Freestyle 74kg Men,Bronze
145,Jean Zhang,M,19,167,77,Soviet Union,USSR,1896,Athens,Wrestling,Freestyle 86kg Men,Gold
146,Michael Chen,M,23,177,83,Finland,FIN,1896,Athens,Wrestling,Freestyle 86kg Men,Silver
147,Zhang Smith,M,26,180,85,United States,USA,1896,Athens,Wrestling,Freestyle 86kg Men,Bronze
148,James Brown,M,23,169,87,Great Britain,GBR,1896,Athens,Wrestling,Greco-Roman 67kg Men,Gold
149,Neymar Biles,M,24,177,77,United States,USA,1896,Athens,Wrestling,Greco-Roman 67kg Men,Silver
150,Boris Müller,M,26,193,47,Poland,POL,1896,Athens,Wrestling,Greco-Roman 67kg Men,Bronze
151,Alexei Wang,M,21,189,86,Netherlands,NED,1896,Athens,Wrestling,Greco-Roman 77kg Men,Gold
152,Robert Dubois,M,30,185,76,Sweden,SWE,1896,Athens,Wrestling,Greco-Roman 77kg Men,Silver
153,Alexei Brown,M,25,169,93,France,FRA,1896,Athens,Wrestling,Greco-Roman 77kg Men,Bronze
154,Ryan Smith,M,25,188,85,United States,USA,1896,Athens,Judo,60kg Men,Gold
155,Adam Bolt,M,25,181,78,Germany,GER,1896,Athens,Judo,60kg Men,Silver
156,Carl Wang,M,16,172,76,France,FRA,1896,Athens,Judo,60kg Men,Bronze
157,Ryan Phelps,M,31,167,80,Japan,JPN,1896,Athens,Judo,66kg Men,Gold
158,Carl Chen,M,18,178,76,Soviet Union,USSR,1896,Athens,Judo,66kg Men,Silver
159,James Zhang,M,28,162,74,Great Britain,GBR,1896,Athens,Judo,66kg Men,Bronze
160,Neymar Kim,M,23,176,71,Hungary,HUN,1896,Athens,Judo,73kg Men,Gold
161,Klaus Park,M,19,171,79,Germany,GER,1896,Athens,Judo,73kg Men,Silver
162,Hans Martin,M,28,179,59,Netherlands,NED,1896,Athens,Judo,73kg Men,Bronze
163,Wei Bolt,M,26,190,81,Great Britain,GBR,1896,Athens,Judo,81kg Men,Gold
164,Wei Chen,M,31,181,88,United States,USA,1896,Athens,Judo,81kg Men,Silver
165,Ryan Kipchoge,M,27,180,72,India,IND,1896,Athens,Judo,81kg Men,Bronze
166,Wei Chen,M,26,164,101,Finland,FIN,1896,Athens,Judo,90kg Men,Gold
167,Adam Popov,M,27,170,73,United States,USA,1896,Athens,Judo,90kg Men,Silver
168,Boris Dubois,M,25,185,47,Hungary,HUN,1896,Athens,Judo,90kg Men,Bronze
169,Hans Felix,M,26,171,87,Japan,JPN,1896,Athens,Judo,+100kg Men,Gold
170,Hans Liu,M,22,178,55,Finland,FIN,1896,Athens,Judo,+100kg Men,Silver
171,Sergei Kipchoge,M,26,188,85,Great Britain,GBR,1896,Athens,Judo,+100kg Men,Bronze
172,Kim Felix,F,25,170,58,France,FRA,1896,Athens,Judo,48kg Women,Gold
173,Maria Popov,F,30,159,54,Italy,ITA,1896,Athens,Judo,48kg Women,Silver
174,Tatiana Zhang,F,16,159,44,Belgium,BEL,1896,Athens,Judo,48kg Women,Bronze
175,Mary Müller,F,24,158,49,United States,USA,1896,Athens,Judo,52kg Women,Gold
176,Anna Kipchoge,F,21,168,57,Germany,GER,1896,Athens,Judo,52kg Women,Silver
177,Oksana Kim,F,25,157,53,Australia,AUS,1896,Athens,Judo,52kg Women,Bronze
178,Dafne Felix,F,29,163,53,Hungary,HUN,1896,Athens,Judo,57kg Women,Gold
179,Heike Felix,F,24,164,65,Belgium,BEL,1896,Athens,Judo,57kg Women,Silver
180,Larisa Kim,F,30,162,48,Canada,CAN,1896,Athens,Judo,57kg Women,Bronze
181,Mark Brown,M,31,180,73,Netherlands,NED,1896,Athens,Boxing,51kg Men,Gold
182,Mark Kim,M,30,174,73,Sweden,SWE,1896,Athens,Boxing,51kg Men,Silver
183,James Phelps,M,25,168,61,United States,USA,1896,Athens,Boxing,51kg Men,Bronze
184,Kento Felix,M,23,182,75,Norway,NOR,1896,Athens,Boxing,56kg Men,Gold
185,Mark Zhang,M,28,191,79,Italy,ITA,1896,Athens,Boxing,56kg Men,Silver
186,Li Fischer,M,28,182,79,United States,USA,1896,Athens,Boxing,56kg Men,Bronze
187,Neymar Bolt,M,27,169,76,Canada,CAN,1896,Athens,Boxing,60kg Men,Gold
188,Pierre Osei,M,25,183,74,Sweden,SWE,1896,Athens,Boxing,60kg Men,Silver
189,Ivan Bolt,M,23,180,90,Poland,POL,1896,Athens,Boxing,60kg Men,Bronze
190,Wei Kim,M,27,164,82,Germany,GER,1896,Athens,Boxing,64kg Men,Gold
191,Pierre Lewis,M,24,169,74,Soviet Union,USSR,1896,Athens,Boxing,64kg Men,Silver
192,Carl Volkov,M,24,176,79,United States,USA,1896,Athens,Boxing,64kg Men,Bronze
193,Sergei Müller,M,18,182,70,United States,USA,1896,Athens,Boxing,69kg Men,Gold
194,Zhang Popov,M,26,170,78,Germany,GER,1896,Athens,Boxing,69kg Men,Silver
195,Hans Liu,M,30,171,73,Sweden,SWE,1896,Athens,Boxing,69kg Men,Bronze
196,Yuki Chen,M,21,170,83,Czech Republic,CZE,1896,Athens,Boxing,75kg Men,Gold
197,Carl Volkov,M,30,185,72,United States,USA,1896,Athens,Boxing,75kg Men,Silver
198,Neymar Volkov,M,21,189,64,Poland,POL,1896,Athens,Boxing,75kg Men,Bronze
199,Michael Osei,M,25,177,62,Great Britain,GBR,1896,Athens,Shooting,10m Air Rifle Men,Gold
200,Yuki Biles,M,31,179,74,Germany,GER,1896,Athens,Shooting,10m Air Rifle Men,Silver
201,Jean Kipchoge,M,27,178,80,Belgium,BEL,1896,Athens,Shooting,10m Air Rifle Men,Bronze
202,Neymar Zhang,M,27,176,82,Netherlands,NED,1896,Athens,Shooting,10m Air Pistol Men,Gold
203,Jean Volkov,M,21,174,78,Japan,JPN,1896,Athens,Shooting,10m Air Pistol Men,Silver
204,David Kim,M,22,174,60,United States,USA,1896,Athens,Shooting,10m Air Pistol Men,Bronze
205,Ryan Phelps,M,33,171,78,United States,USA,1896,Athens,Shooting,50m Rifle Men,Gold
206,Robert Phelps,M,25,181,79,Hungary,HUN,1896,Athens,Shooting,50m Rifle Men,Silver
207,Robert Kim,M,25,170,72,Germany,GER,1896,Athens,Shooting,50m Rifle Men,Bronze
208,Mary Bolt,F,24,165,52,Belgium,BEL,1896,Athens,Shooting,10m Air Rifle Women,Gold
209,Simone Felix,F,20,156,69,United States,USA,1896,Athens,Shooting,10m Air Rifle Women,Silver
210,Allyson Chen,F,28,167,61,Italy,ITA,1896,Athens,Shooting,10m Air Rifle Women,Bronze
211,Simone Liu,F,19,171,72,United States,USA,1896,Athens,Shooting,10m Air Pistol Women,Gold
212,Oksana Liu,F,28,170,79,Brazil,BRA,1896,Athens,Shooting,10m Air Pistol Women,Silver
213,Elena Osei,F,25,176,76,Hungary,HUN,1896,Athens,Shooting,10m Air Pistol Women,Bronze
214,Li Osei,M,24,172,54,Hungary,HUN,1896,Athens,Shooting,Trap Men,Gold
215,Pierre Park,M,25,183,80,Finland,FIN,1896,Athens,Shooting,Trap Men,Silver
216,Mark Bolt,M,18,164,70,Italy,ITA,1896,Athens,Shooting,Trap Men,Bronze
217,Wei Yamamoto,M,29,181,56,France,FRA,1896,Athens,Rowing,Single Sculls Men,Gold
218,Hans Tanaka,M,22,199,78,Soviet Union,USSR,1896,Athens,Rowing,Single Sculls Men,Silver
219,Li Kim,M,32,171,85,Poland,POL,1896,Athens,Rowing,Single Sculls Men,Bronze
220,Li Osei,M,25,186,88,Brazil,BRA,1896,Athens,Rowing,Double Sculls Men,Gold
221,Yuki Johnson,M,27,169,78,France,FRA,1896,Athens,Rowing,Double Sculls Men,Silver
222,Pierre Kim,M,24,179,71,Germany,GER,1896,Athens,Rowing,Double Sculls Men,Bronze
223,Carl Liu,M,24,166,62,France,FRA,1896,Athens,Rowing,Coxless Four Men,Gold
224,Ryan Biles,M,30,162,72,Australia,AUS,1896,Athens,Rowing,Coxless Four Men,Silver
225,Mark Wang,M,26,164,84,Great Britain,GBR,1896,Athens,Rowing,Coxless Four Men,Bronze
226,Michael Kipchoge,M,24,172,71,France,FRA,1896,Athens,Rowing,Eight Men,Gold
227,Klaus Williams,M,28,157,82,Soviet Union,USSR,1896,Athens,Rowing,Eight Men,Silver
228,Yuki Volkov,M,29,187,98,Japan,JPN,1896,Athens,Rowing,Eight Men,Bronze
229,Mary Chen,F,23,160,77,United States,USA,1896,Athens,Rowing,Single Sculls Women,Gold
230,Birgit Zhang,F,29,152,65,Belgium,BEL,1896,Athens,Rowing,Single Sculls Women,Silver
231,Dafne Dubois,F,27,148,52,Great Britain,GBR,1896,Athens,Rowing,Single Sculls Women,Bronze
232,Oksana Wang,F,28,171,47,Soviet Union,USSR,1896,Athens,Rowing,Double Sculls Women,Gold
233,Dafne Bolt,F,26,166,55,Norway,NOR,1896,Athens,Rowing,Double Sculls Women,Silver
234,Ye Thompson,F,27,156,66,Germany,GER,1896,Athens,Rowing,Double Sculls Women,Bronze
235,Carl Dubois,M,19,182,71,Finland,FIN,1896,Athens,Weightlifting,56kg Men,Gold
236,Alexei Phelps,M,26,173,84,Great Britain,GBR,1896,Athens,Weightlifting,56kg Men,Silver
237,Jean Thompson,M,30,179,82,United States,USA,1896,Athens,Weightlifting,56kg Men,Bronze
238,Sergei Liu,M,28,164,58,France,FRA,1896,Athens,Weightlifting,62kg Men,Gold
239,Neymar Martin,M,22,157,68,Bulgaria,BUL,1896,Athens,Weightlifting,62kg Men,Silver
240,Hans Brown,M,20,176,67,United States,USA,1896,Athens,Weightlifting,62kg Men,Bronze
241,Mark Yamamoto,M,26,184,70,Finland,FIN,1896,Athens,Weightlifting,69kg Men,Gold
242,Hans Williams,M,25,186,56,Japan,JPN,1896,Athens,Weightlifting,69kg Men,Silver
243,Hans Thompson,M,31,179,80,Italy,ITA,1896,Athens,Weightlifting,69kg Men,Bronze
244,Boris Fischer,M,29,181,77,Czech Republic,CZE,1896,Athens,Weightlifting,77kg Men,Gold
245,David Phelps,M,21,171,61,United States,USA,1896,Athens,Weightlifting,77kg Men,Silver
246,Jean Thompson,M,25,168,65,Soviet Union,USSR,1896,Athens,Weightlifting,77kg Men,Bronze
247,Kento Bolt,M,32,181,68,Germany,GER,1896,Athens,Weightlifting,85kg Men,Gold
248,Klaus Liu,M,19,167,80,Romania,ROU,1896,Athens,Weightlifting,85kg Men,Silver
249,Pierre Liu,M,29,169,66,Australia,AUS,1896,Athens,Weightlifting,85kg Men,Bronze
250,Yuki Felix,M,25,184,78,Bulgaria,BUL,1896,Athens,Weightlifting,+105kg Men,Gold
251,Sergei Kim,M,28,184,70,Great Britain,GBR,1896,Athens,Weightlifting,+105kg Men,Silver
252,Ivan Park,M,21,177,90,Australia,AUS,1896,Athens,Weightlifting,+105kg Men,Bronze
253,Emily Liu,F,23,167,51,Soviet Union,USSR,1896,Athens,Weightlifting,48kg Women,Gold
254,Birgit Williams,F,34,169,52,Germany,GER,1896,Athens,Weightlifting,48kg Women,Silver
255,Sarah Johnson,F,25,163,60,Norway,NOR,1896,Athens,Weightlifting,48kg Women,Bronze
256,Ye Felix,F,25,164,85,Japan,JPN,1896,Athens,Weightlifting,53kg Women,Gold
257,Sarah Lewis,F,32,172,41,Australia,AUS,1896,Athens,Weightlifting,53kg Women,Silver
258,Simone Müller,F,18,168,72,Soviet Union,USSR,1896,Athens,Weightlifting,53kg Women,Bronze
259,David Park,M,30,188,58,Germany,GER,1896,Athens,Fencing,Foil Men,Gold
260,Robert Kim,M,20,166,95,Brazil,BRA,1896,Athens,Fencing,Foil Men,Silver
261,Carl Williams,M,26,170,81,Netherlands,NED,1896,Athens,Fencing,Foil Men,Bronze
262,Sergei Brown,M,19,173,69,Finland,FIN,1896,Athens,Fencing,Epee Men,Gold
263,Robert Müller,M,25,175,83,Soviet Union,USSR,1896,Athens,Fencing,Epee Men,Silver
264,David Williams,M,18,179,65,Italy,ITA,1896,Athens,Fencing,Epee Men,Bronze
265,Boris Fischer,M,25,178,65,Soviet Union,USSR,1896,Athens,Fencing,Sabre Men,Gold
266,Li Park,M,24,168,82,Australia,AUS,1896,Athens,Fencing,Sabre Men,Silver
267,Neymar Tanaka,M,23,176,69,United States,USA,1896,Athens,Fencing,Sabre Men,Bronze
268,Ye Thompson,F,27,156,51,Poland,POL,1896,Athens,Fencing,Foil Women,Gold
269,Sarah Kim,F,18,169,48,Romania,ROU,1896,Athens,Fencing,Foil Women,Silver
270,Emily Dubois,F,17,171,60,Sweden,SWE,1896,Athens,Fencing,Foil Women,Bronze
271,Allyson Biles,F,24,174,65,Italy,ITA,1896,Athens,Fencing,Epee Women,Gold
272,Ye Kim,F,28,161,54,Belgium,BEL,1896,Athens,Fencing,Epee Women,Silver
273,Ye Tanaka,F,28,165,52,Poland,POL,1896,Athens,Fencing,Epee Women,Bronze
274,Kento Wang,M,36,170,84,Germany,GER,1896,Athens,Diving,3m Springboard Men,Gold
275,Mark Kim,M,28,182,74,Japan,JPN,1896,Athens,Diving,3m Springboard Men,Silver
